word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
510,anemone,0,0,0,0,0,0,0,0,0,0
511,anew,0,0,0,0,0,0,0,0,0,0
512,angel,0,1,0,0,1,0,1,0,1,1
513,angelic,0,0,0,0,1,0,1,0,0,1
514,anger,1,0,0,0,0,1,0,0,0,0
515,angina,0,0,0,1,0,1,0,0,0,0
516,angiography,0,0,0,0,0,0,0,0,0,0
517,angle,0,0,0,0,0,0,0,0,0,0
518,angling,0,1,0,0,0,1,0,0,0,0
519,angry,1,0,1,0,0,1,0,0,0,0
520,anguish,1,0,0,1,0,1,0,1,0,0
521,angular,0,0,0,0,0,0,0,0,0,0
522,anhydrous,0,0,0,0,0,0,0,0,0,0
523,animal,0,0,0,0,0,0,0,0,0,0
524,animate,0,0,0,0,0,0,1,0,0,0
525,animated,0,0,0,0,1,0,1,0,0,0
526,animation,0,0,0,0,0,0,0,0,0,0
